M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,value_type,Type,Strides,TransactionByte,WordSize
26000,26000,  0.065500,10,16.000000,416000,79.389374,12.702290,4,CUSPARSE,408165,128,32
26000,26000,  0.281200,10,32.000000,832000,36.244680,5.917496,4,CUSP,816280,128,32
26000,26000,  0.108600,10,32.000000,832000,93.849024,15.322284,4,CUSPARSE,816280,128,32
26000,26000,  0.478000,10,64.000000,1664000,42.209213,6.962343,4,CUSP,1632413,128,32
26000,26000,  0.210600,10,64.000000,1664000,95.802488,15.802469,4,CUSPARSE,1632413,128,32
26000,26000,  0.881000,10,128.000000,3328000,45.566406,7.555051,4,CUSP,3265191,128,32
26000,26000,  0.444400,10,128.000000,3328000,90.333042,14.977498,4,CUSPARSE,3265191,128,32
28000,28000,  0.018500,10,1.000000,28000,30.270486,3.027027,4,CUSP,27522,128,32
28000,28000,  0.020600,10,1.000000,28000,27.184660,2.718447,4,CUSPARSE,27522,128,32
28000,28000,  0.026000,10,2.000000,56000,34.461692,4.307692,4,CUSP,55010,128,32
28000,28000,  0.020500,10,2.000000,56000,43.707512,5.463415,4,CUSPARSE,55010,128,32
28000,28000,  0.043100,10,4.000000,112000,36.380603,5.197216,4,CUSP,110042,128,32
28000,28000,  0.021900,10,4.000000,112000,71.598356,10.228311,4,CUSPARSE,110042,128,32
28000,28000,  0.081300,10,8.000000,224000,35.818007,5.510455,4,CUSP,220129,128,32
28000,28000,  0.041900,10,8.000000,224000,69.498902,10.692124,4,CUSPARSE,220129,128,32
28000,28000,  0.152800,10,16.000000,448000,36.649241,5.863874,4,CUSP,440373,128,32
28000,28000,  0.069400,10,16.000000,448000,80.691700,12.910663,4,CUSPARSE,440373,128,32
28000,28000,  0.302300,10,32.000000,896000,36.308316,5.927886,4,CUSP,880410,128,32
28000,28000,  0.115600,10,32.000000,896000,94.948131,15.501730,4,CUSPARSE,880410,128,32
28000,28000,  0.515200,10,64.000000,1792000,42.173921,6.956522,4,CUSP,1760654,128,32
28000,28000,  0.227700,10,64.000000,1792000,95.423821,15.740009,4,CUSPARSE,1760654,128,32
28000,28000,  0.947600,10,128.000000,3584000,45.622630,7.564373,4,CUSP,3521578,128,32
28000,28000,  0.389600,10,128.000000,3584000,110.965103,18.398357,4,CUSPARSE,3521578,128,32
30000,30000,  0.019600,10,1.000000,30000,30.612449,3.061224,4,CUSP,29500,128,32
30000,30000,  0.020600,10,1.000000,30000,29.126408,2.912621,4,CUSPARSE,29500,128,32
30000,30000,  0.026200,10,2.000000,60000,36.641374,4.580153,4,CUSP,59071,128,32
30000,30000,  0.020000,10,2.000000,60000,48.000200,6.000000,4,CUSPARSE,59071,128,32
30000,30000,  0.045400,10,4.000000,120000,37.004493,5.286344,4,CUSP,118027,128,32
30000,30000,  0.022900,10,4.000000,120000,73.362620,10.480349,4,CUSPARSE,118027,128,32
30000,30000,  0.085900,10,8.000000,240000,36.321350,5.587893,4,CUSP,236093,128,32
30000,30000,  0.043700,10,8.000000,240000,71.395973,10.983982,4,CUSPARSE,236093,128,32
30000,30000,  0.162300,10,16.000000,480000,36.968601,5.914972,4,CUSP,472111,128,32
30000,30000,  0.072600,10,16.000000,480000,82.644683,13.223140,4,CUSPARSE,472111,128,32
